Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,63.470001,63.740002,62.740002,63.580002,63.436897,1317200
2021-03-02,63.599998,64.070000,63.310001,63.450001,63.307186,1256600
2021-03-03,63.349998,63.430000,61.320000,61.500000,61.361576,884000
2021-03-04,60.369999,60.500000,56.700001,57.320000,57.190983,1950300
2021-03-05,59.250000,59.430000,55.650002,59.000000,58.867203,1840500
2021-03-08,57.090000,57.410000,55.349998,55.560001,55.434948,1606600
2021-03-09,57.000000,58.500000,56.480000,58.230000,58.098934,1411300
2021-03-10,59.360001,59.700001,58.349998,58.669998,58.537945,1275400
2021-03-11,61.270000,62.270000,60.709999,62.110001,61.970200,1441100
2021-03-12,60.990002,61.049999,60.180000,60.910000,60.772903,814500
2021-03-15,60.970001,60.970001,60.009998,60.619999,60.483555,876200
2021-03-16,60.970001,61.000000,59.540001,60.029999,59.894882,1097600
2021-03-17,60.000000,61.200001,59.619999,61.060001,60.922569,799900
2021-03-18,60.430000,60.900002,59.400002,59.470001,59.336147,782000
2021-03-19,59.770000,59.860001,58.790001,59.520000,59.386032,682400
2021-03-22,59.790001,59.849998,58.830002,59.290001,59.156551,572100
2021-03-23,58.099998,58.110001,56.349998,56.610001,56.482582,810100
2021-03-24,56.759998,56.889999,55.070000,55.150002,55.025871,1111700
2021-03-25,55.000000,56.619999,54.880001,56.540001,56.412743,782500
2021-03-26,57.709999,58.360001,57.189999,58.320000,58.188736,527900
2021-03-29,57.709999,57.860001,56.939999,57.110001,56.981457,517900
2021-03-30,57.470001,58.099998,57.110001,57.869999,57.739742,504300
2021-03-31,58.380001,58.669998,58.000000,58.459999,58.328415,681700
2021-04-01,59.720001,60.790001,59.419998,59.790001,59.655426,946800
2021-04-05,61.650002,61.750000,60.310001,60.520000,60.383781,1269700
2021-04-06,60.400002,60.400002,59.639999,60.060001,59.924820,593900
2021-04-07,60.220001,60.380001,58.630001,58.820000,58.687607,570500
2021-04-08,59.580002,59.720001,58.919998,59.279999,59.146572,721700
2021-04-09,59.180000,59.299999,58.660000,58.970001,58.837269,448900
2021-04-12,59.009998,59.099998,57.900002,58.040001,57.909363,717300
2021-04-13,58.799999,59.919998,58.799999,59.849998,59.715286,752200
2021-04-14,61.290001,61.630001,61.009998,61.060001,60.922569,834200
2021-04-15,62.000000,62.250000,61.090000,61.270000,61.132092,519600
2021-04-16,61.369999,61.500000,60.299999,60.730000,60.593307,795500
2021-04-19,62.209999,63.049999,61.910000,62.669998,62.528938,922700
2021-04-20,62.450001,62.459999,60.820000,61.320000,61.181980,687800
2021-04-21,61.419998,62.340000,60.990002,62.259998,62.119865,600400
2021-04-22,62.570000,62.750000,61.639999,61.959999,61.820538,542200
2021-04-23,62.380001,63.630001,62.270000,63.270000,63.127594,813900
2021-04-26,63.439999,63.799999,62.900002,63.689999,63.546646,793800
2021-04-27,63.369999,63.509998,62.680000,62.970001,62.828270,603000
2021-04-28,63.279999,63.720001,63.000000,63.490002,63.347099,460200
2021-04-29,64.099998,64.250000,62.730000,63.299999,63.157524,580100
2021-04-30,62.919998,63.900002,62.900002,63.590000,63.446873,439200
2021-05-03,63.549999,63.570000,62.730000,62.889999,62.748444,547800
2021-05-04,62.250000,62.349998,61.410000,61.970001,61.830521,895100
2021-05-05,62.500000,63.299999,62.389999,63.020000,62.878155,435000
2021-05-06,62.480000,62.509998,61.340000,62.000000,61.860451,496100
2021-05-07,61.970001,62.200001,61.279999,62.180000,62.040043,453100
2021-05-10,62.630001,62.919998,61.450001,61.599998,61.461349,537700
2021-05-11,59.270000,60.790001,58.849998,60.549999,60.413715,1365700
2021-05-12,59.610001,60.310001,58.509998,58.740002,58.607792,828800
2021-05-13,58.619999,59.459999,58.279999,58.700001,58.567879,839600
2021-05-14,59.619999,60.720001,59.549999,60.619999,60.483555,528300
2021-05-17,60.830002,61.270000,60.250000,60.660000,60.523464,536800
2021-05-18,61.220001,61.790001,61.020000,61.450001,61.311687,455100
2021-05-19,60.799999,61.799999,60.799999,61.639999,61.501259,454700
2021-05-20,62.000000,62.610001,62.000000,62.439999,62.299458,470300
2021-05-21,62.570000,62.759998,62.070000,62.279999,62.139816,281300
2021-05-24,62.919998,63.520000,62.700001,63.360001,63.217392,505800
2021-05-25,63.919998,64.339996,63.630001,63.919998,63.776123,413900
2021-05-26,63.619999,64.040001,63.220001,64.000000,63.855949,393100
